date,product,category,quantity,unit_price,discount,payment_method
2025-09-08,Potatoes 1kg,Vegetables,1,48.43,15,Cash
2025-09-08,Rice 1kg,Food,1,33.15,5,UPI
2025-09-08,Maggi 2-Minute Noodles,Food,3,96.02,0,Cash
2025-09-08,Cooking Oil 1L,Food,1,22.37,10,Card
2025-09-08,Coca Cola 500ml,Beverages,1,46.76,0,UPI
2025-09-08,Maggi 2-Minute Noodles,Food,1,90.19,0,Card
2025-09-08,Coca Cola 500ml,Beverages,2,32.3,0,Wallet
2025-09-08,Maggi 2-Minute Noodles,Food,2,104.01,0,Card
2025-09-08,Lays Classic 50g,Snacks,1,22.3,0,Card
2025-09-08,Milk 1L,Dairy,2,68.01,0,Wallet
2025-09-08,Dettol Soap 100g,Personal Care,1,26.18,0,UPI
2025-09-08,Tomatoes 1kg,Vegetables,2,47.65,0,UPI
2025-09-08,Parle-G Biscuits 100g,Snacks,2,19.37,5,Wallet
2025-09-08,Maggi 2-Minute Noodles,Food,1,56.12,0,Cash
2025-09-08,Tomatoes 1kg,Vegetables,1,25.11,0,Cash
2025-09-08,Maggi 2-Minute Noodles,Food,2,60.24,0,Cash
2025-09-08,Potatoes 1kg,Vegetables,3,30.98,0,Cash
2025-09-09,Lays Classic 50g,Snacks,2,14.48,0,Wallet
2025-09-09,Cooking Oil 1L,Food,2,133.41,0,Wallet
2025-09-09,Cooking Oil 1L,Food,2,48.13,5,Cash
2025-09-09,Bread Loaf,Food,3,98.92,0,UPI
2025-09-09,Parle-G Biscuits 100g,Snacks,1,18.03,5,Wallet
2025-09-09,Lays Classic 50g,Snacks,1,22.69,15,Cash
2025-09-09,Tata Tea 250g,Beverages,3,35.04,10,Wallet
2025-09-09,Maggi 2-Minute Noodles,Food,3,122.5,0,Cash
2025-09-09,Colgate Toothpaste 100g,Personal Care,2,74.27,0,UPI
2025-09-09,Parle-G Biscuits 100g,Snacks,3,19.38,0,UPI
2025-09-09,Cooking Oil 1L,Food,1,99.36,10,Wallet
2025-09-09,Milk 1L,Dairy,2,30.83,0,Wallet
2025-09-09,Cooking Oil 1L,Food,1,132.05,0,Cash
2025-09-09,Tomatoes 1kg,Vegetables,1,53.01,5,Wallet
2025-09-09,Eggs 12pcs,Dairy,2,73.9,0,UPI
2025-09-09,Bread Loaf,Food,1,48.48,0,Wallet
2025-09-09,Onions 1kg,Vegetables,3,21.5,0,Wallet
2025-09-09,Bread Loaf,Food,1,77.16,0,UPI
2025-09-09,Milk 1L,Dairy,1,68.67,5,UPI
2025-09-09,Colgate Toothpaste 100g,Personal Care,4,29.73,0,Card
2025-09-10,Bread Loaf,Food,4,90.68,0,Wallet
2025-09-10,Eggs 12pcs,Dairy,1,39.52,0,Card
2025-09-10,Colgate Toothpaste 100g,Personal Care,3,48.02,0,Cash
2025-09-10,Tata Tea 250g,Beverages,1,40.61,0,Wallet
2025-09-10,Lays Classic 50g,Snacks,5,23.76,5,Cash
2025-09-10,Lays Classic 50g,Snacks,1,15.07,0,Wallet
2025-09-10,Coca Cola 500ml,Beverages,2,21.45,0,UPI
2025-09-10,Colgate Toothpaste 100g,Personal Care,3,69.02,0,Wallet
2025-09-10,Cooking Oil 1L,Food,1,144.88,0,Card
2025-09-10,Colgate Toothpaste 100g,Personal Care,2,48.14,0,Card
2025-09-10,Potatoes 1kg,Vegetables,1,27.3,0,Cash
2025-09-10,Milk 1L,Dairy,2,41.04,0,Wallet
2025-09-10,Parle-G Biscuits 100g,Snacks,2,11.12,10,UPI
2025-09-10,Colgate Toothpaste 100g,Personal Care,1,49.22,0,UPI
2025-09-10,Potatoes 1kg,Vegetables,2,51.08,0,UPI
2025-09-10,Onions 1kg,Vegetables,1,54.13,0,Wallet
2025-09-10,Colgate Toothpaste 100g,Personal Care,1,53.41,5,Cash
2025-09-10,Tomatoes 1kg,Vegetables,1,51.49,5,Cash
2025-09-10,Cooking Oil 1L,Food,1,121.68,0,UPI
2025-09-10,Tomatoes 1kg,Vegetables,2,25.86,0,Cash
2025-09-11,Lays Classic 50g,Snacks,2,14.91,0,UPI
2025-09-11,Milk 1L,Dairy,1,60.61,5,Card
2025-09-11,Maggi 2-Minute Noodles,Food,1,145.46,0,Wallet
2025-09-11,Potatoes 1kg,Vegetables,2,52.35,5,UPI
2025-09-11,Eggs 12pcs,Dairy,1,79.71,0,Cash
2025-09-11,Tomatoes 1kg,Vegetables,2,57.21,10,Wallet
2025-09-11,Onions 1kg,Vegetables,1,19.21,0,Cash
2025-09-11,Eggs 12pcs,Dairy,1,68.63,0,Card
2025-09-11,Onions 1kg,Vegetables,1,56.63,0,Cash
2025-09-11,Rice 1kg,Food,5,97.76,5,Card
2025-09-11,Maggi 2-Minute Noodles,Food,3,21.01,0,Cash
2025-09-11,Rice 1kg,Food,3,36.31,0,Wallet
2025-09-11,Dettol Soap 100g,Personal Care,1,36.74,0,Wallet
2025-09-11,Coca Cola 500ml,Beverages,1,23.74,0,Wallet
2025-09-11,Maggi 2-Minute Noodles,Food,3,24.84,10,Cash
2025-09-11,Dettol Soap 100g,Personal Care,4,59.27,0,UPI
2025-09-11,Rice 1kg,Food,4,149.76,10,Wallet
2025-09-11,Maggi 2-Minute Noodles,Food,1,100.82,0,Cash
2025-09-11,Milk 1L,Dairy,1,40.41,0,Wallet
2025-09-11,Parle-G Biscuits 100g,Snacks,1,12.1,0,Cash
